id,country,continent,group,height (cm)
11851,Switzerland,Europe,A,165
12539,Portugal,Europe,A,161
12847,Malawi,Africa,A,155
9578,Saint Vincent and the Grenadines,North America,B,179
16957,Moldova,Europe,A,164
18074,Mongolia,Asia,B,169
11123,Tonga,Oceania,A,165
14324,Liberia,Africa,B,166
190,Libya,Africa,B,176
210,Mauritania,Africa,B,164
14401,Puerto Rico,North America,A,163
15163,Saudi Arabia,Asia,A,158
5102,Qatar,Asia,B,172
7356,Seychelles,Africa,B,177
11330,Kazakhstan,Asia,B,176
15878,Paraguay,South America,B,174
7158,Denmark,Europe,B,182
1257,Guyana,South America,A,159
6162,Mauritania,Africa,B,161
3969,Palau,Oceania,A,158
11863,Timor-Leste,Asia,A,153
7652,Mauritius,Africa,B,172
16385,Armenia,Europe,A,159
17877,Austria,Europe,A,168
720,Ukraine,Europe,B,181
17344,New Zealand,Oceania,B,176
11681,Iceland,Europe,A,170
11203,Bolivia,South America,A,155
13332,Suriname,South America,B,176
260,Poland,Europe,B,181
1176,Cameroon,Africa,B,173
4944,Estonia,Europe,B,184
5284,Cook Islands,Oceania,B,177
2935,Timor-Leste,Asia,A,153
7572,Grenada,North America,B,176
12989,Turkey,Asia,A,160
12794,Hungary,Europe,B,173
12887,Nigeria,Africa,A,156
2163,South Africa,Africa,A,159
5871,Sierra Leone,Africa,A,157
1762,Saint Kitts and Nevis,North America,B,174
1183,Chad,Africa,A,161
16928,Liberia,Africa,B,166
13007,Uzbekistan,Asia,A,159
17182,China,Asia,B,176
11891,Uzbekistan,Asia,A,161
8422,Nigeria,Africa,B,169
2651,Botswana,Africa,A,160
8339,Iran,Asia,A,160
2683,Costa Rica,North America,A,159
3647,Solomon Islands,Oceania,A,155
12490,Mexico,North America,B,170
13190,Kazakhstan,Asia,B,174
8318,Guatemala,North America,B,164
3961,North Korea,Asia,A,162
2019,Ireland,Europe,A,163
17545,Cameroon,Africa,A,159
11012,Namibia,Africa,B,171
9720,Brazil,South America,B,175
11833,Somalia,Africa,A,163
7860,Brazil,South America,B,176
2990,Argentina,South America,B,176
11488,Thailand,Asia,B,170
17732,Palau,Oceania,B,172
980,Niger,Africa,B,167
4029,Sri Lanka,Asia,A,155
8928,Afghanistan,Asia,B,166
17238,Ghana,Africa,B,168
16476,Estonia,Europe,B,184
11747,Mexico,North America,A,157
4788,Tajikistan,Asia,B,169
6519,Luxembourg,Europe,A,165
12151,Pakistan,Asia,A,154
10250,Malta,Europe,B,171
1976,France,Europe,B,177
389,Armenia,Europe,A,159
12077,Kenya,Africa,A,158
11164,Algeria,Africa,B,172
16468,Egypt,Africa,B,175
10057,Antigua and Barbuda,North America,A,168
7761,Syria,Asia,A,152
12770,Georgia,Europe,B,176
4299,Malta,Europe,A,170
9547,Pakistan,Asia,A,155
15325,Colombia,South America,A,157
12187,Saudi Arabia,Asia,A,157
10624,Marshall Islands,Oceania,B,163
7637,Madagascar,Africa,A,151
4315,Mozambique,Africa,A,154
18185,Thailand,Asia,A,160
376,Algeria,Africa,B,173
10990,Maldives,Asia,B,168
5211,Albania,Europe,A,163
10933,Honduras,North America,A,155
179,Kyrgyzstan,Asia,A,161
8940,Antigua and Barbuda,North America,B,172
2945,Turkey,Asia,A,160
9470,Kazakhstan,Asia,B,174
14900,Austria,Europe,B,178
16357,Vanuatu,Oceania,A,160
9551,Panama,North America,A,157
10782,Yemen,Asia,B,162
1565,Cook Islands,Oceania,A,169
13862,Ecuador,South America,B,168
10219,Kiribati,Oceania,A,161
2069,Marshall Islands,Oceania,A,156
12875,Nauru,Oceania,A,157
11062,Saint Kitts and Nevis,North America,B,173
2062,Maldives,Asia,B,167
10326,Saudi Arabia,Asia,B,172
5763,Latvia,Europe,A,169
11582,Bulgaria,Europe,B,165
477,Equatorial Guinea,Africa,A,156
8652,Dominican Republic,North America,B,173
10368,Tajikistan,Asia,B,166
584,Mauritius,Africa,B,171
599,Nauru,Oceania,A,157
14633,Germany,Europe,A,165
7229,Israel,Asia,A,162
12679,Belarus,Europe,A,168
10829,Bhutan,Asia,A,152
14173,Benin,Africa,A,157
14107,Turkmenistan,Asia,A,161
13091,China,Asia,A,163
5911,Timor-Leste,Asia,A,152
7533,Djibouti,Africa,A,153
4173,Côte d'Ivoire,Africa,A,160
9060,Grenada,North America,B,175
2673,Chile,South America,A,158
2270,Bermuda,North America,B,176
3676,Thailand,Asia,B,171
57,Cabo Verde,Africa,A,161
4886,Bulgaria,Europe,B,170
12606,Timor-Leste,Asia,B,159
12605,Thailand,Asia,A,159
7885,Colombia,South America,A,158
3359,Angola,Africa,A,149
16815,Comoros,Africa,A,156
7354,Serbia,Europe,B,180
9268,Turkey,Asia,B,176
14745,Niger,Africa,A,159
16069,Colombia,South America,A,156
7553,Fiji,Oceania,A,163
12089,Lebanon,Asia,A,162
12446,Kazakhstan,Asia,B,176
10799,Angola,Africa,A,165
15795,Kazakhstan,Asia,A,161
18444,Moldova,Europe,B,175
14321,Lebanon,Asia,A,165
14445,Sri Lanka,Asia,A,155
3960,North Korea,Asia,B,168
9697,Bahrain,Asia,A,159
11102,Swaziland,Africa,B,169
12388,Fiji,Oceania,B,174
14122,Uzbekistan,Asia,B,172
3765,Bosnia and Herzegovina,Europe,A,166
8961,Belgium,Europe,A,163
17724,North Korea,Asia,B,174
8910,United States,North America,B,176
10156,Fiji,Oceania,B,175
786,Bolivia,South America,B,169
17511,Bangladesh,Asia,A,151
12624,Ukraine,Europe,B,180
16955,Mexico,North America,A,158
13965,Malaysia,Asia,A,157
12589,Suriname,South America,A,161
10537,Gabon,Africa,A,158
13403,Angola,Africa,A,163
9894,Mozambique,Africa,B,165
12279,Albania,Europe,A,163
4547,Croatia,Europe,A,165
6476,Indonesia,Asia,B,166
13906,Haiti,North America,B,175
17590,Eritrea,Africa,B,173
16749,Andorra,Europe,A,173
10153,Estonia,Europe,A,168
11828,Slovenia,Europe,B,181
12881,New Zealand,Oceania,A,164
3904,Lebanon,Asia,B,177
9275,Uganda,Africa,A,158
6923,Nauru,Oceania,A,157
1850,Venezuela,South America,B,175
2238,American Samoa,Oceania,B,181
3523,Kiribati,Oceania,A,160
16807,Chad,Africa,A,162
3048,Colombia,South America,B,170
11470,Sudan,Africa,B,171
8145,Togo,Africa,A,158
15731,Eritrea,Africa,A,155
7905,Djibouti,Africa,A,168
16235,Nigeria,Africa,A,157
13161,Guyana,South America,A,158
16378,Angola,Africa,B,168
15519,Qatar,Asia,A,160
2898,Slovakia,Europe,B,180
8802,Pakistan,Asia,B,166
13586,Luxembourg,Europe,B,178
9705,Belgium,Europe,A,162
2388,Iraq,Asia,B,173
939,Luxembourg,Europe,A,164
11813,Samoa,Oceania,A,163
47,Botswana,Africa,A,161
8255,China,Asia,A,163
2197,Trinidad and Tobago,North America,A,164
11543,Angola,Africa,A,166
1276,Israel,Asia,B,176
15965,Turkey,Asia,A,160
16997,Peru,South America,A,154
1656,Jordan,Asia,B,174
3166,Libya,Africa,B,178
15660,Benin,Africa,B,168
18415,Lesotho,Africa,A,155
1036,Singapore,Asia,B,175
6754,Cambodia,Asia,B,165
4360,Romania,Europe,B,176
12673,Bahrain,Asia,A,158
6545,Morocco,Africa,A,161
13214,Luxembourg,Europe,B,180
1571,Croatia,Europe,A,165
12094,Libya,Africa,B,178
17809,Tajikistan,Asia,A,158
7649,Marshall Islands,Oceania,A,155
15533,Samoa,Oceania,A,164
10307,Portugal,Europe,A,160
5699,French Polynesia,Oceania,A,166
12018,Finland,Europe,B,180
7377,Sri Lanka,Asia,A,155
15711,Cyprus,Europe,A,160
1745,Peru,South America,A,154
12196,Singapore,Asia,B,174
178,Kyrgyzstan,Asia,B,169
14672,Jamaica,North America,B,178
7241,Kenya,Africa,A,158
7150,Croatia,Europe,B,179
17646,Italy,Europe,B,175
1740,Papua New Guinea,Oceania,B,161
5073,Niger,Africa,A,160
18168,Suriname,South America,B,174
11417,Peru,South America,A,154
6958,Portugal,Europe,B,174
12763,Finland,Europe,A,165
1047,South Africa,Africa,A,159
6186,Nicaragua,North America,B,170
11941,Benin,Africa,A,157
1846,Uzbekistan,Asia,B,170
14052,Seychelles,Africa,B,176
14731,Mozambique,Africa,A,155
14204,Chile,South America,B,174
11392,New Zealand,Oceania,B,177
17693,Marshall Islands,Oceania,A,153
4378,Serbia,Europe,B,181
1804,Sweden,Europe,B,180
14616,Estonia,Europe,B,182
6890,Luxembourg,Europe,B,178
7921,Estonia,Europe,A,167
15497,Oman,Asia,A,158
4358,Qatar,Asia,B,174
1087,Turkmenistan,Asia,A,161
14699,Libya,Africa,A,162
12355,Costa Rica,North America,A,160
9516,Moldova,Europe,B,174
3671,Taiwan,Asia,A,159
4626,Italy,Europe,B,173
12036,Grenada,North America,B,182
12810,Italy,Europe,B,173
12879,Netherlands,Europe,A,172
13360,Turkey,Asia,B,176
11493,Togo,Africa,A,159
758,Argentina,South America,B,175
3934,Mexico,North America,B,170
7801,Vanuatu,Oceania,A,158
11216,Cabo Verde,Africa,B,173
16803,Canada,North America,A,165
8698,Haiti,North America,B,173
5986,Belize,North America,B,173
4848,Antigua and Barbuda,North America,B,188
2574,Turkmenistan,Asia,B,174
14403,Qatar,Asia,A,160
4530,Chad,Africa,B,169
2426,Luxembourg,Europe,B,179
14259,Georgia,Europe,A,162
13253,New Zealand,Oceania,A,164
7655,Mexico,North America,A,157
8410,Nauru,Oceania,B,170
4159,Chad,Africa,A,161
10733,Sweden,Europe,A,166
17740,Peru,South America,B,166
731,Uzbekistan,Asia,A,159
7972,Israel,Asia,B,176
837,Djibouti,Africa,A,151
15570,Switzerland,Europe,B,178
15320,Chile,South America,B,172
12665,Armenia,Europe,A,160
8873,Sweden,Europe,A,166
5085,Palau,Oceania,A,161
13622,Netherlands,Europe,B,181
11993,Czech Republic,Europe,A,168
14450,Swaziland,Africa,B,168
3173,Madagascar,Africa,A,152
7441,Afghanistan,Asia,A,157
2415,Latvia,Europe,A,168
6075,Georgia,Europe,A,163
8225,Bhutan,Asia,A,156
10446,Belarus,Europe,B,178
4874,Bermuda,North America,B,180
7629,Liberia,Africa,A,157
10342,Solomon Islands,Oceania,B,160
7613,Kenya,Africa,A,158
452,Côte d'Ivoire,Africa,B,169
1252,Guinea,Africa,B,166
16416,Brazil,South America,B,175
17030,Sierra Leone,Africa,B,168
11127,Tunisia,Africa,A,161
9160,New Zealand,Oceania,B,176
11859,Tanzania,Africa,A,158
5691,Ethiopia,Africa,A,157
5419,Mauritania,Africa,A,160
3627,Saint Vincent and the Grenadines,North America,A,165
8776,Morocco,Africa,B,176
3769,Brazil,South America,A,162
13789,Bahrain,Asia,A,157
3165,Liberia,Africa,A,158
5605,Bahrain,Asia,A,160
2509,Saint Lucia,North America,A,163
12664,Armenia,Europe,B,176
16577,Marshall Islands,Oceania,A,153
1291,Kiribati,Oceania,A,159
7582,Haiti,North America,B,171
10617,Malaysia,Asia,A,157
16367,Zimbabwe,Africa,A,160
7323,Paraguay,South America,A,158
14236,Egypt,Africa,B,175
4658,Luxembourg,Europe,B,175
1760,Rwanda,Africa,B,167
326,Tanzania,Africa,B,168
10192,Iceland,Europe,B,185
6025,Colombia,South America,A,157
7674,Nicaragua,North America,B,170
4179,Cyprus,Europe,A,162
9782,Ethiopia,Africa,B,170
2327,Dominica,North America,A,165
12836,Liberia,Africa,B,167
9259,Timor-Leste,Asia,A,153
3068,Djibouti,Africa,B,160
4196,Equatorial Guinea,Africa,B,171
18143,Serbia,Europe,A,168
17251,Guinea-Bissau,Africa,A,160
1988,Greece,Europe,B,180
3204,Nepal,Asia,B,164
1838,United Arab Emirates,Asia,B,173
12854,Malta,Europe,B,171
12774,Ghana,Africa,B,169
8136,Tajikistan,Asia,B,167
16971,Netherlands,Europe,A,169
16309,Suriname,South America,A,165
6093,Guyana,South America,A,160
11024,Niger,Africa,B,172
10747,Timor-Leste,Asia,A,151
2386,Iran,Asia,B,175
16409,Bhutan,Asia,A,156
6403,Costa Rica,North America,A,161
1822,Tonga,Oceania,B,176
18113,Peru,South America,A,154
4825,Vanuatu,Oceania,A,157
4152,Cameroon,Africa,B,169
16858,French Polynesia,Oceania,B,180
3426,Costa Rica,North America,B,175
8210,Bangladesh,Asia,B,165
15762,Guinea-Bissau,Africa,B,159
253,Papua New Guinea,Oceania,A,154
9812,Guyana,South America,B,174
16167,Kazakhstan,Asia,A,162
15463,Mauritania,Africa,A,162
1029,Senegal,Africa,A,162
1227,Ethiopia,Africa,A,157
1889,Barbados,North America,A,163
15945,Syria,Asia,A,157
6169,Moldova,Europe,A,163
3751,Belarus,Europe,A,165
10554,Guinea-Bissau,Africa,B,169
9441,Guyana,South America,A,158
16066,China,Asia,B,175
13075,Burundi,Africa,A,156
5104,Romania,Europe,B,178
13130,Ethiopia,Africa,B,168
6023,China,Asia,A,163
8215,Belarus,Europe,A,164
15068,Liberia,Africa,B,164
2283,Bulgaria,Europe,A,159
6773,Cook Islands,Oceania,A,168
11997,Djibouti,Africa,A,167
2949,Tuvalu,Oceania,A,164
10952,Jamaica,North America,B,177
13999,Nicaragua,North America,A,155
2099,Nigeria,Africa,A,158
3678,Timor-Leste,Asia,B,160
16263,Qatar,Asia,A,160
14345,Marshall Islands,Oceania,A,155
16543,Kiribati,Oceania,A,160
2115,Paraguay,South America,A,157
12755,Eritrea,Africa,A,158
3263,Serbia,Europe,A,169
10930,Haiti,North America,B,171
12192,Seychelles,Africa,B,176
741,Zambia,Africa,A,158
17776,Singapore,Asia,B,175
13036,Armenia,Europe,B,175
6645,Syria,Asia,A,163
15312,Cameroon,Africa,B,174
10797,Andorra,Europe,A,169
1983,Georgia,Europe,A,163
15560,Sri Lanka,Asia,B,169
16679,Sudan,Africa,A,160
11581,Brazil,South America,A,161
7520,Côte d'Ivoire,Africa,B,164
14689,Laos,Asia,A,151
5770,Libya,Africa,B,172
11057,Romania,Europe,A,165
13685,Singapore,Asia,A,160
17890,Belize,North America,B,168
1205,Czech Republic,Europe,A,167
8033,Morocco,Africa,A,159
13767,Albania,Europe,A,162
15301,Brazil,South America,A,162
17165,Burkina Faso,Africa,A,162
634,Portugal,Europe,B,174
3653,South Korea,Asia,A,163
15872,Palau,Oceania,B,168
18568,Turkey,Asia,B,174
